year,award,outcome,title,author,published
2001,Best Novelette,Finalist,“Undone”,James Patrick Kelly,Asimov’s Magazine
2001,Best Novelette,Winner,“Louise’s Ghost”,Kelly Link,no publishing information available
2001,Best Novelette,Finalist,“Dance of the Yellow-Breasted Luddites”,William Shunn,no publishing information available
2001,Best Short Story,Finalist,“Kaddish for the Last Survivor”,Michael A. Burstein,Analog
2001,Best Short Story,Winner,“The Cure for Everything”,Severna Park,Sci Fiction
2001,Best Short Story,Finalist,“The Elephants on Neptune”,Mike Resnick,Asimov’s Magazine
2001,Best Short Story,Finalist,“Mom and Dad at the Home Front”,Sherwood Smith,Realms of Fantasy
2001,Best Short Story,Finalist,“Wound the Wind”,George Zebrowski,Analog
2000,Best Novel,Winner,Darwin’s Radio,Greg Bear,Ballantine Del Rey
2000,Best Novel,Finalist,A Civil Campaign,Lois Mcmaster Bujold,Baen
2000,Best Novel,Finalist,Forests of the Heart,Charles De Lint,no publishing information available
2000,Best Novel,Finalist,Crescent City Rhapsody,Kathleen Ann Goonan,Avon Eos
2000,Best Novel,Finalist,Midnight Robber,Nalo Hopkinson,no publishing information available
2000,Best Novel,Finalist,Infinity Beach,Jack Mcdevitt,HarperPrism
2000,Best Novella,Finalist,“Fortitude”,Andy Duncan,Realms of Fantasy
2000,Best Novella,Finalist,“Ninety Percent of Everything”,Jonathan Lethem,James Patrick Kelly
2000,Best Novella,Winner,“Goddesses”,Linda Nagata,Sci Fiction
2000,Best Novella,Finalist,“Hunting the Snark”,Mike Resnick,Asimov’s Magazine
2000,Best Novella,Finalist,“Crocodile Rock”,Lucius Shepard,The Magazine of Fantasy and Science Fiction
2000,Best Novella,Finalist,“Argonautica”,Walter Jon Williams,Asimov’s Magazine
2000,Best Novelette,Finalist,“Stellar Harvest”,Eleanor Arnason,Asimov’s Magazine
2000,Best Novelette,Finalist,“A Knight of Ghosts and Shadows”,Gardner Dozois,Asimov’s Magazine
2000,Best Novelette,Finalist,“Jack Daw’s Pack”,Greer Gilman,no publishing information available
2000,Best Novelette,Finalist,“A Day’s Work on the Moon”,Mike Moscoe,Analog
2000,Best Novelette,Finalist,“How the Highland People Came to Be”,Bruce Holland Rogers,Realms of Fantasy
2000,Best Novelette,Finalist,“Generation Gap”,Stanley Schmidt,Artemis
2000,Best Novelette,Winner,“Daddy’s World”,Walter Jon Williams,no publishing information available
2000,Best Short Story,Winner,“macs”,Terry Bisson,The Magazine of Fantasy and Science Fiction
2000,Best Short Story,Finalist,“The Fantasy Writer’s Assistant”,Jeffrey Ford,The Magazine of Fantasy and Science Fiction
2000,Best Short Story,Finalist,“Flying Over Water”,Ellen Klages,no publishing information available
2000,Best Short Story,Finalist,“The Golem”,Severna Park,no publishing information available
2000,Best Short Story,Finalist,“Scherzo With Tyrannosaur”,Michael Swanwick,Asimov’s Magazine
2000,Best Short Story,Finalist,“You Wandered Off Like a Foolish Child to Break Your Heart and Mine”,Pat York,no publishing information available
1999,Best Novel,Winner,Parable of the Talents,Octavia E. Butler,Seven Stories Press
1999,Best Novel,Finalist,The Cassini Division,Ken Macleod,Tor
1999,Best Novel,Finalist,A Clash of Kings,George R. R. Martin,Bantam Spectra
1999,Best Novel,Finalist,Mission Child,Maureen F. Mchugh,Avon
1999,Best Novel,Finalist,Mockingbird,Sean Stewart,Ace
1999,Best Novel,Finalist,A Deepness in the Sky,Vernor Vinge,Tor
1999,Best Novella,Finalist,“Reality Check”,Michael A. Burstein,Analog
1999,Best Novella,Finalist,“The Astronaut from Wyoming”,Adam-Troy Castro,Jerry Oltion
1999,Best Novella,Winner,“Story of Your Life”,Ted Chiang,no publishing information available
1999,Best Novella,Finalist,“Living Trust”,L. Timmel Duchamp,Asimov’s Magazine
1999,Best Novella,Finalist,“The Executioners Guild”,Andy Duncan,Asimov’s Magazine
1999,Best Novella,Finalist,“The Wedding Album”,David Marusek,Asimov’s Magazine
1999,Best Novelette,Finalist,“The Island in the Lake”,Phyllis Eisenstein,The Magazine of Fantasy and Science Fiction
1999,Best Novelette,Finalist,“How to Make Unicorn Pie”,Esther M. Friesner,The Magazine of Fantasy and Science Fiction
1999,Best Novelette,Finalist,“Five Days in April”,Brian A. Hopkins,Chiaroscuro
1999,Best Novelette,Finalist,“Good Intentions”,Stanley Schmidt,Jack McDevitt
1999,Best Novelette,Finalist,“Taklamakan”,Bruce Sterling,Asimov’s Magazine
1999,Best Novelette,Winner,“Mars Is No Place for Children”,Mary A. Turzillo,Science Fiction Age
1999,Best Short Story,Finalist,“Flower Kiss”,Constance Ash,Asimov’s Magazine
1999,Best Short Story,Finalist,“The Dead Boy at Your Window”,Bruce Holland Rogers,The North American Review
1999,Best Short Story,Finalist,“Basil the Dog”,Frances Sherwood,Atlantic Monthly
1999,Best Short Story,Finalist,“Ancient Engines”,Michael Swanwick,Asimov’s Magazine
1999,Best Short Story,Finalist,“Radiant Doors”,Michael Swanwick,Asimov’s Magazine
1999,Best Short Story,Winner,“The Cost of Doing Business”,Leslie What,Amazing Stories
1998,Best Novel,Finalist,The Last Hawk,Catherine Asaro,Tor
1998,Best Novel,Winner,Forever Peace,Joe Haldeman,Ace
1998,Best Novel,Finalist,Moonfall,Jack Mcdevitt,HarperPrism
1998,Best Novel,Finalist,The Death of the Necromancer,Martha Wells,Avon
1998,Best Novel,Finalist,To Say Nothing of the Dog,Connie Willis,Bantam Spectra
1998,Best Novella,Finalist,“Aurora in Four Voices”,Catherine Asaro,Analog
1998,Best Novella,Finalist,"“The Boss in the Wall, A Treatise on the House Devil”",Avram Davidson,Grania Davis
1998,Best Novella,Winner,“Reading the Bones”,Sheila Finch,The Magazine of Fantasy and Science Fiction
1998,Best Novella,Finalist,“Izzy and the Father of Terror”,Eliot Fintushel,Asimov’s Magazine
1998,Best Novella,Finalist,“Jumping Off the Planet”,David Gerrold,Science Fiction Age
1998,Best Novella,Finalist,“Ecopoiesis”,Geoffrey A. Landis,Science Fiction Age
1998,Best Novelette,Finalist,“The Truest Chill”,Gregory Feeley,no publishing information available
1998,Best Novelette,Finalist,“Time Gypsy”,Ellen Klages,no publishing information available
1998,Best Novelette,Finalist,“The Mercy Gate”,Mark J. Mcgarry,The Magazine of Fantasy and Science Fiction
1998,Best Novelette,Finalist,“Echea”,Kristine Kathryn Rusch,Asimov’s Magazine
1998,Best Novelette,Finalist,“Lethe”,Walter Jon Williams,Asimov’s Magazine
1998,Best Novelette,Winner,“Lost Girls”,Jane Yolen,Realms of Fantasy
1998,Best Short Story,Finalist,“When the Bow Breaks”,Steven Brust,no publishing information available
1998,Best Short Story,Finalist,“Standing Room Only”,Karen Joy Fowler,Asimov’s Magazine
1998,Best Short Story,Finalist,“Fortune and Misfortune”,Lisa Goldstein,Asimov’s Magazine
1998,Best Short Story,Finalist,“Winter Fire”,Geoffrey A. Landis,Asimov’s Magazine
1998,Best Short Story,Winner,“Thirteen Ways to Water”,Bruce Holland Rogers,no publishing information available
1998,Best Short Story,Finalist,“Tall One”,K. D. Wentworth,The Magazine of Fantasy and Science Fiction
1997,Best Novel,Finalist,Memory,Lois Mcmaster Bujold,Baen
1997,Best Novel,Finalist,King’s Dragon,Kate Elliott,DAW
1997,Best Novel,Finalist,A Game of Thrones,George R. R. Martin,Bantam Spectra
1997,Best Novel,Finalist,Ancient Shores,Jack Mcdevitt,HarperPrism
1997,Best Novel,Winner,The Moon and the Sun,Vonda N. Mcintyre,Pocket
1997,Best Novel,Finalist,How Few Remain,Harry Turtledove,Ballantine Del Rey
1997,Best Novel,Finalist,City on Fire,Walter Jon Williams,HarperPrism
1997,Best Novel,Finalist,Bellwether,Connie Willis,Bantam Spectra
1997,Best Novella,Finalist,“The Funeral March of the Marionettes”,Adam-Troy Castro,The Magazine of Fantasy and Science Fiction
1997,Best Novella,Finalist,“Loose Ends”,Paul Levinson,Analog
1997,Best Novella,Winner,“Abandon in Place”,Jerry Oltion,The Magazine of Fantasy and Science Fiction
1997,Best Novella,Finalist,“Chrysalis”,Robert Reed,Asimov’s Magazine
1997,Best Novella,Finalist,“Primrose and Thorn”,Bud Sparhawk,Analog
1997,Best Novella,Finalist,“…Where Angels Fear to Tread”,Allen Steele,Asimov’s Magazine
1997,Best Novelette,Finalist,“The Dog’s Story”,Eleanor Arnason,Asimov’s Magazine
1997,Best Novelette,Finalist,“Three Hearings on the Existence of Snakes in the Human Bloodstream”,James Alan Gardner,Asimov’s Magazine
1997,Best Novelette,Finalist,“We Will Drink a Fish Together”,Bill Johnson,Asimov’s Magazine
1997,Best Novelette,Finalist,“The Miracle of Ivar Avenue”,John Kessel,no publishing information available
1997,Best Novelette,Winner,“The Flowers of Aulit Prison”,Nancy Kress,Asimov’s Magazine
1997,Best Novelette,Finalist,“The Copyright Notice Case”,Paul Levinson,Analog
1997,Best Novelette,Finalist,“The Undiscovered”,William Sanders,Asimov’s Magazine
1997,Best Short Story,Finalist,“The Crab Lice”,Gregory Feeley,no publishing information available
1997,Best Short Story,Finalist,“The Elizabeth Complex”,Karen Joy Fowler,Crank!
1997,Best Short Story,Finalist,“Itsy Bitsy Spider”,James Patrick Kelly,Asimov’s Magazine
