year,award,outcome,title,author,published
2002,Best Novel,6,Cosmonaut Keep,Ken Macleod,"Orbit, 2000; Tor, 2001"
2002,Best Novella,1,“Fast Times at Fairmont High”,Vernor Vinge,"The Collected Stories of Vernor Vinge (Tor), 2001"
2002,Best Novella,2,“Stealing Alabama”,Allen M. Steele,Asimov’s Jan 2001
2002,Best Novella,3,“May Be Some Time”,Brenda W. Clough,Analog Apr 2001
2002,Best Novella,4,“The Chief Designer”,Andy Duncan,Asimov’s Jun 2001
2002,Best Novella,5,“The Diamond Pit”,Jack Dann,"Jubilee, 2001; F&SF Jun 2001"
2002,Best Novelette,1,“Hell Is the Absence of God”,Ted Chiang,"Starlight #3 (Tor), 2001"
2002,Best Novelette,2,“The Days Between”,Allen Steele,Asimov’s Mar 2001
2002,Best Novelette,3,“Undone”,James Patrick Kelly,Asimov’s Jun 2001
2002,Best Novelette,4,“Lobsters”,Charles Stross,Asimov’s Jun 2001
2002,Best Novelette,5,“The Return of Spring”,Shane Tourtellotte,Analog Nov 2001
2002,Best Short Story,1,“The Dog Said Bow-Wow”,Michael Swanwick,Asimov’s Oct/Nov 2001
2002,Best Short Story,2,“The Bones of the Earth”,Ursula K. Le Guin,"Tales from Earthsea (Harcourt), 2001"
2002,Best Short Story,3,“Old MacDonald Had a Farm”,Mike Resnick,Asimov’s Sep 2001
2002,Best Short Story,4,“The Ghost Pit”,Stephen Baxter,Asimov’s Jul 2001
2002,Best Short Story,5,“Spaceships”,Michael A. Burstein,Analog Jun 2001
2001,Best Novel,1,Harry Potter and the Goblet of Fire,J. K. Rowling,"Bloomsbury, 2000; Scholastic, 2000"
2001,Best Novel,2,A Storm of Swords,George R. R. Martin,"HarperCollins Voyager, 2000; Bantam Spectra, 2000"
2001,Best Novel,3,Calculating God,Robert J. Sawyer,"Tor, 2000"
2001,Best Novel,4,The Sky Road,Ken Macleod,"Orbit, 1999; Tor, 2000"
2001,Best Novel,5,Midnight Robber,Nalo Hopkinson,"Warner Aspect, 2000"
2001,Best Novella,1,“The Ultimate Earth”,Jack Williamson,Analog Dec 2000
2001,Best Novella,2,“A Roll of the Dice”,Catherine Asaro,Analog Jul/Aug 2000
2001,Best Novella,3,“The Retrieval Artist”,Kristine Kathryn Rusch,Analog Jun 2000
2001,Best Novella,4,“Oracle”,Greg Egan,Asimov’s Jul 2000
2001,Best Novella,5,“Seventy-Two Letters”,Ted Chiang,"Vanishing Acts, 2000"
2001,Best Novella,6,“Radiant Green Star”,Lucius Shepard,Asimov’s Aug 2000
2001,Best Novelette,1,“Millennium Babies”,Kristine Kathryn Rusch,Asimov’s Jan 2000
2001,Best Novelette,2,“On the Orion Line”,Stephen Baxter,Asimov’s Oct/Nov 2000
2001,Best Novelette,3,“Agape Among the Robots”,Allen Steele,Analog May 2000
2001,Best Novelette,4,“Generation Gap”,Stanley Schmidt,Artemis #1 Spr 2000
2001,Best Novelette,5,“Redchapel”,Mike Resnick,Asimov’s Dec 2000
2001,Best Short Story,1,“Different Kinds of Darkness”,David Langford,F&SF Jan 2000
2001,Best Short Story,2,“Kaddish for the Last Survivor”,Michael A. Burstein,Analog Nov 2000
2001,Best Short Story,3,“Moon Dogs”,Michael Swanwick,"Moon Dogs, 2000; Asimov’s Mar 2000"
2001,Best Short Story,4,“The Elephants on Neptune”,Mike Resnick,Asimov’s May 2000
2001,Best Short Story,5,“The Gravity Mine”,Stephen Baxter,Asimov’s Apr 2000
2000,Best Novel,1,A Deepness in the Sky,Vernor Vinge,"Tor, 1999"
2000,Best Novel,2,A Civil Campaign,Lois Mcmaster Bujold,"Baen, 1999"
2000,Best Novel,3,Cryptonomicon,Neal Stephenson,"Avon, 1999"
2000,Best Novel,4,Darwin’s Radio,Greg Bear,"HarperCollins UK, 1999; Ballantine Del Rey, 1999"
2000,Best Novel,5,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,"Bloomsbury, 1999; Scholastic, 1999"
2000,Best Novella,1,“The Winds of Marble Arch”,Connie Willis,Asimov’s Oct/Nov 1999
2000,Best Novella,2,"“Forty, Counting Down”",Harry Turtledove,Asimov’s Dec 1999
2000,Best Novella,3,“The Astronaut from Wyoming”,Adam-Troy Castro And Jerry Oltion,Analog Jul/Aug 1999
2000,Best Novella,4,“Hunting the Snark”,Mike Resnick,Asimov’s Dec 1999
2000,Best Novella,5,"“Son, Observe the Time”",Kage Baker,Asimov’s May 1999
2000,Best Novelette,1,“1016 to 1″,James Patrick Kelly,Asimov’s Jun 1999
2000,Best Novelette,2,“Stellar Harvest”,Eleanor Arnason,Asimov’s Apr 1999
2000,Best Novelette,3,“Border Guards”,Greg Egan,Interzone #148 Oct 1999
2000,Best Novelette,4,“The Secret History of the Ornithopter”,Jan Lars Jensen,F&SF Jun 1999
2000,Best Novelette,5,“Fossil Games”,Tom Purdom,Asimov’s Feb 1999
2000,Best Novelette,6,“The Chop Girl”,Ian R. Macleod,Asimov’s Dec 1999
2000,Best Short Story,1,“Scherzo with Tyrannosaur”,Michael Swanwick,Asimov’s Jul 1999
2000,Best Short Story,2,“Ancient Engines”,Michael Swanwick,Asimov’s Feb 1999
2000,Best Short Story,3,“Hothouse Flowers”,Mike Resnick,Asimov’s Oct/Nov 1999
2000,Best Short Story,4,“macs”,Terry Bisson,F&SF Oct/Nov 1999
2000,Best Short Story,5,“Sarajevo”,Nick Dichario,F&SF Mar 1999
1999,Best Novel,1,To Say Nothing of the Dog,Connie Willis,"Bantam Spectra, 1998"
1999,Best Novel,2,Children of God,Mary Doria Russell,"Villard, 1998"
1999,Best Novel,3,Darwinia,Robert Charles Wilson,"Tor, 1998"
1999,Best Novel,4,Distraction,Bruce Sterling,"Bantam Spectra, 1998"
1999,Best Novel,5,Factoring Humanity,Robert J. Sawyer,"Tor, 1998"
1999,Best Novella,1,“Oceanic”,Greg Egan,Asimov’s Aug 1998
1999,Best Novella,2,“Aurora in Four Voices”,Catherine Asaro,Analog Dec 1998
1999,Best Novella,3,“Story of Your Life”,Ted Chiang,"Starlight #2 (Tor), 1998"
1999,Best Novella,4,“Get Me to the Church on Time”,Terry Bisson,Asimov’s May 1998
1999,Best Novella,5,“The Summer Isles”,Ian R. Macleod,Asimov’s Oct/Nov 1998
1999,Best Novelette,1,“Taklamakan”,Bruce Sterling,Asimov’s Oct/Nov 1998
1999,Best Novelette,2,“Echea”,Kristine Kathryn Rusch,Asimov’s Jul 1998
1999,Best Novelette,3,“Zwarte Piet’s Tale”,Allen Steele,Analog Dec 1998
1999,Best Novelette,4,“Steamship Soldier on the Information Front”,Nancy Kress,Future Histories 1997; Asimov’s Apr 1998
1999,Best Novelette,5,“The Planck Dive”,Greg Egan,Asimov’s Feb 1998
1999,Best Novelette,6,“Time Gypsy”,Ellen Klages,"Bending the Landscape: Science Fiction, 1998"
1999,Best Novelette,7,“Divided,Robert Charles Wilson,"Starlight #2 (Tor), 1998"
1999,Best Short Story,1,“The Very Pulse of the Machine”,Michael Swanwick,Asimov’s Feb 1998
1999,Best Short Story,2,“Maneki Neko”,Bruce Sterling,F&SF May 1998
1999,Best Short Story,3,“Radiant Doors”,Michael Swanwick,Asimov’s Sep 1998
1999,Best Short Story,4,“Wild Minds”,Michael Swanwick,Asimov’s May 1998
1999,Best Short Story,5,“Cosmic Corkscrew”,Michael A. Burstein,Analog Jun 1998
1999,Best Short Story,6,“Whiptail”,Robert Reed,Asimov’s Oct/Nov 1998
1998,Best Novel,1,Forever Peace,Joe Haldeman,"Ace, 1997"
1998,Best Novel,2,City on Fire,Walter Jon Williams,"HarperPrism, 1997"
1998,Best Novel,3,The Rise of Endymion,Dan Simmons,"Bantam Spectra, 1997"
1998,Best Novel,4,Frameshift,Robert J. Sawyer,"Tor, 1997"
1998,Best Novel,5,Jack Faust,Michael Swanwick,"Avon, 1997"
1998,Best Novella,1,“…Where Angels Fear to Tread”,Allen Steele,Asimov’s Oct/Nov 1997
1998,Best Novella,2,“The Funeral March of the Marionettes”,Adam-Troy Castro,F&SF Jul 1997
1998,Best Novella,3,“Ecopoiesis”,Geoffrey A. Landis,SF Age May 1997
1998,Best Novella,4,“Loose Ends”,Paul Levinson,Analog May 1997
1998,Best Novella,5,“Marrow”,Robert Reed,SF Age Jul 1997
1998,Best Novelette,1,“We Will Drink a Fish Together…”,Bill Johnson,Asimov’s May 1997
1998,Best Novelette,2,“Three Hearings on the Existence of Snakes in the Human Bloodstream”,James Alan Gardner,Asimov’s Feb 1997
1998,Best Novelette,3,“Moon Six”,Stephen Baxter,SF Age Mar 1997
1998,Best Novelette,4,“Broken Symmetry”,Michael A. Burstein,Analog Feb 1997
1998,Best Novelette,5,“The Undiscovered”,William Sanders,Asimov’s Mar 1997
1998,Best Short Story,1,“The 43 Antarean Dynasties”,Mike Resnick,Asimov’s Dec 1997
1998,Best Short Story,2,“Itsy Bitsy Spider”,James Patrick Kelly,Asimov’s Jun 1997
1998,Best Short Story,3,“No Planets Strike”,Gene Wolfe,F&SF Jan 1997
1998,Best Short Story,4,“The Hand You’re Dealt”,Robert J. Sawyer,"Free Space, 1997"
1998,Best Short Story,5,“Standing Room Only”,Karen Joy Fowler,Asimov’s Aug 1997
1998,Best Short Story,6,“Beluthahatchie”,Andy Duncan,Asimov’s Mar 1997
1997,Best Novel,1,Blue Mars,Kim Stanley Robinson,"HarperCollins Voyager, 1996; Bantam Spectra, 1996"
1997,Best Novel,2,Memory,Lois Mcmaster Bujold,"Baen, 1996"
1997,Best Novel,3,Remnant Population,Elizabeth Moon,"Baen, 1996"
1997,Best Novel,4,Starplex,Robert J. Sawyer,"Analog Jul,Aug,Sep,Oct 1996; Ace, 1996"
1997,Best Novel,5,Holy Fire,Bruce Sterling,"Bantam Spectra, 1996"
1997,Best Novella,1,“Blood of the Dragon”,George R. R. Martin,Asimov’s Jul 1996
1997,Best Novella,2,“Time Travelers Never Die”,Jack Mcdevitt,Asimov’s May 1996
1997,Best Novella,3,“Immersion”,Gregory Benford,SF Age Mar 1996
1997,Best Novella,4,“Abandon in Place”,Jerry Oltion,F&SF Dec 1996
1997,Best Novella,5,“Gas Fish”,Mary Rosenblum,Asimov’s Feb 1996
1997,Best Novella,6,“The Cost to Be Wise”,Maureen F. Mchugh,"Starlight #1 (Tor), 1996"
1997,Best Novelette,1,“Bicycle Repairman”,Bruce Sterling,"Intersections (Tor), 1996; Asimov’s Oct/Nov 1996"
1997,Best Novelette,2,“The Land of Nod”,Mike Resnick,Asimov’s Jun 1996
1997,Best Novelette,3,“Mountain Ways”,Ursula K. Le Guin,Asimov’s Aug 1996
1997,Best Novelette,4,“Beauty and the Opéra or The Phantom Beast”,Suzy Mckee Charnas,Asimov’s Mar 1996
1997,Best Novelette,5,“Age of Aquarius”,William Barton,Asimov’s May 1996
1997,Best Short Story,1,“The Soul Selects Her Own Society”,Connie Willis,Asimov’s Apr 1996
1997,Best Short Story,2,“Un-Birthday Boy”,James White,Analog Feb 1996
1997,Best Short Story,3,“The Dead”,Michael Swanwick,"Starlight #1 (Tor), 1996"
1997,Best Short Story,4,“Decency”,Robert Reed,Asimov’s Jun 1996
1997,Best Short Story,5,“Gone”,John Crowley,F&SF Sep 1996
1996,Best Novel,1,The Diamond Age,Neal Stephenson,"Bantam Spectra, 1995"
1996,Best Novel,2,The Time Ships,Stephen Baxter,"HarperPrism, 1995"
1996,Best Novel,3,Brightness Reef,David Brin,"Bantam Spectra, 1995"
1996,Best Novel,4,The Terminal Experiment (alt: Hobson’s Choice),Robert J. Sawyer,"HarperPrism, 1995; Analog mid-Dec 1994,Jan,Feb,Mar 1995"
1996,Best Novel,5,Remake,Connie Willis,"Bantam Spectra, 1995"
1996,Best Novella,1,“The Death of Captain Future”,Allen Steele,Asimov’s Oct 1995
1996,Best Novella,2,“A Woman’s Liberation”,Ursula K. Le Guin,"Asimov’s Jul 1995; Four Ways to Forgiveness (HarperPrism), 1995"
1996,Best Novella,3,“Bibi”,Mike Resnick And Susan Shwartz,Asimov’s mid-Dec 1995
1996,Best Novella,4,“A Man of the People”,Ursula K. Le Guin,"Asimov’s Apr 1995; Four Ways to Forgiveness (HarperPrism), 1995"
1996,Best Novella,5,“Fault Lines”,Nancy Kress,Asimov’s Aug 1995
1996,Best Novelette,1,“Think Like a Dinosaur”,James Patrick Kelly,Asimov’s Jun 1995
1996,Best Novelette,2,“When the Old Gods Die”,Mike Resnick,Asimov’s Apr 1995
1996,Best Novelette,3,“The Good Rat”,Allen Steele,Analog mid-Dec 1995
1996,Best Novelette,4,“Must and Shall”,Harry Turtledove,Asimov’s Nov 1995
1996,Best Novelette,5,“Luminous”,Greg Egan,Asimov’s Sep 1995
1996,Best Novelette,6,“TAP”,Greg Egan,Asimov’s Nov 1995
1996,Best Short Story,1,“The Lincoln Train”,Maureen F. Mchugh,F&SF Apr 1995
1996,Best Short Story,2,“A Birthday”,Esther M. Friesner,F&SF Aug 1995
1996,Best Short Story,3,“TeleAbsence”,Michael A. Burstein,Analog Jul 1995
1996,Best Short Story,4,“Life on the Moon”,Tony Daniel,Asimov’s Apr 1995
1996,Best Short Story,5,“Walking Out”,Michael Swanwick,Asimov’s Feb 1995
1995,Best Novel,1,Mirror Dance,Lois Mcmaster Bujold,"Baen, 1994"
1995,Best Novel,2,Mother of Storms,John Barnes,"Tor, 1994"
1995,Best Novel,3,Beggars and Choosers,Nancy Kress,"Tor, 1994"
1995,Best Novel,4,Brittle Innings,Michael Bishop,"Bantam, 1994"
1995,Best Novel,5,Towing Jehovah,James Morrow,"Harcourt Brace, 1994"
1995,Best Novella,1,“Seven Views of Olduvai Gorge”,Mike Resnick,F&SF Oct/Nov 1994
1995,Best Novella,2,“Les Fleurs du Mal”,Brian Stableford,Asimov’s Oct 1994
1995,Best Novella,3,“Forgiveness Day”,Ursula K. Le Guin,Asimov’s Nov 1994
1995,Best Novella,4,“Cri de Coeur”,Michael Bishop,Asimov’s Sep 1994
1995,Best Novella,5,“Melodies of the Heart”,Michael F. Flynn,Analog Jan 1994
1995,Best Novelette,1,“The Martian Child”,David Gerrold,F&SF Sep 1994
1995,Best Novelette,2,“Cocoon”,Greg Egan,Asimov’s May 1994
1995,Best Novelette,3,“A Little Knowledge”,Mike Resnick,Asimov’s Apr 1994
1995,Best Novelette,4,“Solitude”,Ursula K. Le Guin,F&SF Dec 1994
1995,Best Novelette,5,“The Singular Habits of Wasps”,Geoffrey A. Landis,Analog Apr 1994
1995,Best Novelette,6,“The Matter of Seggri”,Ursula K. Le Guin,Crank #3 Spr 1994
1995,Best Short Story,1,“None So Blind”,Joe Haldeman,Asimov’s Nov 1994
1995,Best Short Story,2,“I Know What You’re Thinking”,Kate Wilhelm,Asimov’s Nov 1994
1995,Best Short Story,3,“Barnaby in Exile”,Mike Resnick,Asimov’s Feb 1994
1995,Best Short Story,4,“Dead Man’s Curve”,Terry Bisson,Asimov’s Jun 1994
1995,Best Short Story,5,“Understanding Entropy”,Barry N. Malzberg,SF Age Jul 1994
1995,Best Short Story,6,“Mrs. Lincoln’s China”,M. Shayne Bell,Asimov’s Jul 1994
1985,Best Novel,1,Neuromancer,William Gibson,"Ace, 1984"
1985,Best Novel,2,Emergence,David R. Palmer,"Bantam, 1984"
1985,Best Novel,3,The Peace War,Vernor Vinge,"Bluejay, 1984"
1985,Best Novel,4,Job: A Comedy of Justice,Robert A. Heinlein,"Ballantine Del Rey, 1984"
1985,Best Novel,5,The Integral Trees,Larry Niven,"Ballantine Del Rey, 1984"
1985,Best Novella,1,“Press Enter []”,John Varley,Asimov’s May 1984
1985,Best Novella,2,“Cyclops”,David Brin,Asimov’s Mar 1984
1985,Best Novella,3,“Valentina”,Joseph H. Delaney And Marc Stiegler,Analog May 1984
1985,Best Novella,4,“Summer Solstice”,Charles L. Harness,Analog Jun 1984
1985,Best Novella,5,“Elemental”,Geoffrey A. Landis,Analog Dec 1984
1985,Best Novelette,1,“Bloodchild”,Octavia E. Butler,Asimov’s Jun 1984
1985,Best Novelette,2,“The Man Who Painted the Dragon Griaule”,Lucius Shepard,F&SF Dec 1984
1985,Best Novelette,3,“Return to the Fold”,Timothy Zahn,Analog Sep 1984
1985,Best Novelette,4,“Blued Moon”,Connie Willis,Asimov’s Jan 1984
1985,Best Novelette,5,“Silicon Muse”,Hilbert Schenck,Analog Sep 1984
1985,Best Novelette,6,“The Weigher”,Eric Vinicoff And Marcia Martin,Analog Oct 1984
1985,Best Novelette,7,“The Lucky Strike”,Kim Stanley Robinson,"Universe 14, 1984"
1985,Best Short Story,1,“The Crystal Spheres”,David Brin,Analog Jan 1984
1985,Best Short Story,2,"“The Aliens Who Knew, I Mean, Everything”",George Alec Effinger,F&SF Oct 1984
1985,Best Short Story,3,“Symphony for a Lost Traveler”,Lee Killough,Analog Mar 1984
1985,Best Short Story,4,“Salvador”,Lucius Shepard,F&SF Apr 1984
1985,Best Short Story,5,“Ridge Running”,Kim Stanley Robinson,F&SF Jan 1984
1985,Best Short Story,6,“Rory”,Steven Gould,Analog Apr 1984
1994,Best Novel,1,Green Mars,Kim Stanley Robinson,"HarperCollins UK, 1993; Bantam Spectra, 1993"
1994,Best Novel,2,Moving Mars,Greg Bear,"Tor, 1993"
1994,Best Novel,3,Beggars in Spain,Nancy Kress,"Morrow AvoNova, 1993"
1994,Best Novel,4,Glory Season,David Brin,"Bantam Spectra, 1993"
1994,Best Novel,5,Virtual Light,William Gibson,"Bantam Spectra, 1993"
1994,Best Novella,1,“Down in the Bottomlands”,Harry Turtledove,Analog Jan 1993
1994,Best Novella,2,"“Wall, Stone, Craft”",Walter Jon Williams,"F&SF Oct/Nov 1993; Axolotl, 1993"
1994,Best Novella,3,“Into the Miranda Rift”,G. David Nordley,Analog Jul 1993
1994,Best Novella,4,“The Night We Buried Road Dog”,Jack Cady,F&SF Jan 1993
1994,Best Novella,5,“An American Childhood”,Pat Murphy,Asimov’s Apr 1993
1994,Best Novella,6,“Mefisto in Onyx”,Harlan Ellison,"Omni Oct 1993; Ziesing, 1993"
1994,Best Novelette,1,“Georgia on My Mind”,Charles Sheffield,Analog Jan 1993
1994,Best Novelette,2,“Dancing on Air”,Nancy Kress,Asimov’s Jul 1993
1994,Best Novelette,3,“The Shadow Knows”,Terry Bisson,Asimov’s Sep 1993
1994,Best Novelette,4,“Deep Eddy”,Bruce Sterling,Asimov’s Aug 1993
1994,Best Novelette,5,“The Franchise”,John Kessel,Asimov’s Aug 1993
1994,Best Short Story,1,“Death on the Nile”,Connie Willis,Asimov’s Mar 1993
1994,Best Short Story,2,“Mwalimu in the Squared Circle”,Mike Resnick,Asimov’s Mar 1993
1994,Best Short Story,3,“The Story So Far”,Martha Soukup,"Full Spectrum #4, 1993"
1994,Best Short Story,4,“The Good Pup”,Bridget Mckenna,F&SF Mar 1993
1994,Best Short Story,5,“England Underway”,Terry Bisson,Omni Jul 1993
1993,Best Novel,1,A Fire Upon the Deep,Vernor Vinge,"Tor, 1992"
1993,Best Novel,2,Doomsday Book,Connie Willis,"Bantam Spectra, 1992"
1993,Best Novel,3,Red Mars,Kim Stanley Robinson,"HarperCollins UK, 1992; Bantam Spectra, 1993"
1993,Best Novel,4,China Mountain Zhang,Maureen F. Mchugh,"Tor, 1992"
1993,Best Novel,5,Steel Beach,John Varley,"Ace/Putnam, 1992"
1993,Best Novella,1,“Barnacle Bill the Spacer”,Lucius Shepard,Asimov’s Jul 1992
1993,Best Novella,2,“Stopping at Slowyear”,Frederik Pohl,"Pulphouse/Axolotl, 1992; Bantam Spectra, 1992"
1993,Best Novella,3,“Protection”,Maureen F. Mchugh,Asimov’s Apr 1992
1993,Best Novella,4,“Uh-Oh City”,Jonathan Carroll,F&SF Jun 1992
1993,Best Novella,5,“The Territory”,Bradley Denton,F&SF Jul 1992
1993,Best Novelette,1,“The Nutcracker Coup”,Janet Kagan,Asimov’s Dec 1992
1993,Best Novelette,2,“Danny Goes to Mars”,Pamela Sargent,Asimov’s Oct 1992
1993,Best Novelette,3,“True Faces”,Pat Cadigan,F&SF Apr 1992
1993,Best Novelette,4,“Suppose They Gave a Peace…”,Susan Shwartz,"Alternate Presidents (Tor), 1992"
1993,Best Novelette,5,“In the Stone House”,Barry N. Malzberg,"Alternate Kennedys (Tor), 1992"
1993,Best Short Story,1,“Even the Queen”,Connie Willis,Asimov’s Apr 1992
1993,Best Short Story,2,“The Mountain to Mohammed”,Nancy Kress,Asimov’s Apr 1992
1993,Best Short Story,3,“The Lotus and the Spear”,Mike Resnick,Asimov’s Aug 1992
1993,Best Short Story,4,“The Arbitrary Placement of Walls”,Martha Soukup,Asimov’s Apr 1992
1993,Best Short Story,5,“The Winterberry”,Nicholas A. Dichario,"Alternate Kennedys (Tor), 1992"
1992,Best Novel,1,Barrayar,Lois Mcmaster Bujold,"Analog Jul,Aug,Sep,Oct 1991; Baen, 1991"
1992,Best Novel,2,Bone Dance,Emma Bull,"Ace, 1991"
1992,Best Novel,3,All the Weyrs of Pern,Anne Mccaffrey,"Ballantine Del Rey, 1991"
1992,Best Novel,4,The Summer Queen,Joan D. Vinge,"Warner Questar, 1991"
1992,Best Novel,5,Xenocide,Orson Scott Card,"Tor, 1991"
1992,Best Novel,6,Stations of the Tide,Michael Swanwick,"Asimov’s mid-Dec 1990,Jan 1991; Morrow, 1991"
1992,Best Novella,1,“Beggars in Spain”,Nancy Kress,"Asimov’s Apr 1991; Axolotl, 1991"
1992,Best Novella,2,“The Gallery of His Dreams”,Kristine Kathryn Rusch,"Pulphouse/Axolotl, 1991; Asimov’s Sep 1991"
1992,Best Novella,3,“Jack”,Connie Willis,Asimov’s Oct 1991
1992,Best Novella,4,“Griffin’s Egg”,Michael Swanwick,"Legend, 1991; St. Martin’s, 1991"
1992,Best Novella,5,“And Wild for to Hold”,Nancy Kress,Asimov’s Jul 1991
1992,Best Novelette,1,“Gold”,Isaac Asimov,Analog Sep 1991
1992,Best Novelette,2,“Dispatches from the Revolution”,Pat Cadigan,Asimov’s Jul 1991
1992,Best Novelette,3,“Miracle”,Connie Willis,Asimov’s Dec 1991
1992,Best Novelette,4,“Fin de Cyclé”,Howard Waldrop,"Night of the Cooters: More Neat Stories, 1990; Asimov’s mid-Dec 1991"
1992,Best Novelette,5,“Understand”,Ted Chiang,Asimov’s Aug 1991
1992,Best Short Story,1,“A Walk in the Sun”,Geoffrey A. Landis,Asimov’s Oct 1991
1992,Best Short Story,2,"“One Perfect Morning, with Jackals”",Mike Resnick,Asimov’s Mar 1991
1992,Best Short Story,3,“In the Late Cretaceous”,Connie Willis,Asimov’s mid-Dec 1991
1992,Best Short Story,4,“Winter Solstice”,Mike Resnick,F&SF Oct/Nov 1991
1992,Best Short Story,5,“Press Ann”,Terry Bisson,Asimov’s Aug 1991
1992,Best Short Story,6,“Buffalo”,John Kessel,"Fires of the Past, 1991; F&SF Jan 1991"
1992,Best Short Story,7,“Dog’s Life”,Martha Soukup,Amazing Mar 1991
1991,Best Novel,1,The Vor Game,Lois Mcmaster Bujold,"Baen, 1990"
1991,Best Novel,2,Earth,David Brin,"Bantam Spectra, 1990"
1991,Best Novel,3,The Fall of Hyperion,Dan Simmons,"Doubleday Foundation, 1990"
1991,Best Novel,4,The Quiet Pools,Michael P. Kube-Mcdowell,"Ace, 1990"
1991,Best Novel,5,Queen of Angels,Greg Bear,"Warner Questar, 1990"
1991,Best Novella,1,“The Hemingway Hoax”,Joe Haldeman,Asimov’s Apr 1990
1991,Best Novella,2,“Bully!”,Mike Resnick,Asimov’s May 1990
1991,Best Novella,3,"“A Short, Sharp Shock”",Kim Stanley Robinson,"Ziesing, 1990; Asimov’s Nov 1990"
1991,Best Novella,4,“Bones”,Pat Murphy,Asimov’s May 1990
1991,Best Novella,5,“Fool to Believe”,Pat Cadigan,Asimov’s Apr 1990
1991,Best Novelette,1,“The Manamouki”,Mike Resnick,Asimov’s Jul 1990
1991,Best Novelette,2,“A Braver Thing”,Charles Sheffield,Asimov’s Feb 1990
1991,Best Novelette,3,“Tower of Babylon”,Ted Chiang,Omni Nov 1990
1991,Best Novelette,4,"“The Coon Rolled Down and Ruptured His Larinks, A Squeezed Novel",Dafydd Ab Hugh,Asimov’s Aug 1990
1991,Best Novelette,5,“Over the Long Haul”,Martha Soukup,Amazing Mar 1990
1991,Best Short Story,1,“Bears Discover Fire”,Terry Bisson,Asimov’s Aug 1990
1991,Best Short Story,2,“Cibola”,Connie Willis,Asimov’s Dec 1990
1991,Best Short Story,3,“Godspeed”,Charles Sheffield,Analog Jul 1990
1991,Best Short Story,4,“The Utility Man”,Robert Reed,Asimov’s Nov 1990
1991,Best Short Story,5,“VRM-547”,W. R. Thompson,Analog Feb 1990
1990,Best Novel,1,Hyperion,Dan Simmons,"Doubleday Foundation, 1989"
1990,Best Novel,2,A Fire in the Sun,George Alec Effinger,"Doubleday Foundation, 1989"
1990,Best Novel,3,Prentice Alvin,Orson Scott Card,"Tor, 1989"
1990,Best Novel,4,The Boat of a Million Years,Poul Anderson,"Tor, 1989"
1990,Best Novel,5,Grass,Sheri S. Tepper,"Doubleday Foundation, 1989"
1990,Best Novella,1,“The Mountains of Mourning”,Lois Mcmaster Bujold,Analog May 1989
1990,Best Novella,2,“The Father of Stones”,Lucius Shepard,"WSFA Press, 1989; Asimov’s Sep 1989"
1990,Best Novella,3,“A Touch of Lavender”,Megan Lindholm,Asimov’s Nov 1989
1990,Best Novella,4,“Time Out”,Connie Willis,Asimov’s Jul 1989
1990,Best Novella,5,“Tiny Tango”,Judith Moffett,Asimov’s Feb 1989
1990,Best Novelette,1,“Enter a Soldier. Later: Enter Another”,Robert Silverberg,"Asimov’s Jun 1989; Time Gate, 1989"
1990,Best Novelette,2,“For I Have Touched the Sky”,Mike Resnick,F&SF Dec 1989
1990,Best Novelette,3,“Everything But Honor”,George Alec Effinger,Asimov’s Feb 1989
1990,Best Novelette,4,“At the Rialto”,Connie Willis,"The Microverse, 1989; Omni Oct 1989"
1990,Best Novelette,5,“The Price of Oranges”,Nancy Kress,Asimov’s Apr 1989
1990,Best Novelette,6,“Dogwalker”,Orson Scott Card,Asimov’s Nov 1989
1990,Best Short Story,1,“Boobs”,Suzy Mckee Charnas,Asimov’s Jul 1989
1990,Best Short Story,2,“Lost Boys”,Orson Scott Card,F&SF Oct 1989
1990,Best Short Story,3,“Computer Friendly”,Eileen Gunn,Asimov’s Jun 1989
1990,Best Short Story,4,“The Return of William Proxmire”,Larry Niven,"What Might Have Been? Vol. 1: Alternate Empires, 1989"
1990,Best Short Story,5,“The Edge of the World”,Michael Swanwick,"Full Spectrum #2, 1989"
1990,Best Short Story,6,“Dori Bangs”,Bruce Sterling,Asimov’s Sep 1989
1989,Best Novel,1,Cyteen,C. J. Cherryh,"Warner, 1988"
1989,Best Novel,2,Red Prophet,Orson Scott Card,"Tor, 1988"
1989,Best Novel,3,Falling Free,Lois Mcmaster Bujold,"Analog Dec,mid-Dec 1987,Jan,Feb 1988; Baen, 1988"
1989,Best Novel,4,Islands in the Net,Bruce Sterling,"Morrow/Arbor House, 1988"
1989,Best Novel,5,Mona Lisa Overdrive,William Gibson,"Gollancz, 1988; Bantam Spectra, 1988"
1989,Best Novella,1,“The Last of the Winnebagos”,Connie Willis,Asimov’s Jul 1988
1989,Best Novella,2,“The Scalehunter’s Beautiful Daughter”,Lucius Shepard,"Ziesing, 1988; Asimov’s Sep 1988"
1989,Best Novella,3,“Journals of the Plague Years”,Norman Spinrad,"Full Spectrum (Doubleday), 1988"
1989,Best Novella,4,“The Calvin Coolidge Home for Dead Comedians”,Bradley Denton,F&SF Jun 1988
1989,Best Novella,5,“Surfacing”,Walter Jon Williams,Asimov’s Apr 1988
1989,Best Novelette,1,“Schrödinger’s Kitten”,George Alec Effinger,Omni Sep 1988
