year,award,outcome,title,author,published
2015,Best Novelette,6,“Championship B’tok”,Edward M. Lerner,"Analog, 09-2014"
2015,Best Short Story,1,No Award,None,None
2015,Best Short Story,2,“Totaled”,Kary English,"Galaxy’s Edge Magazine, 07-2014"
2015,Best Short Story,3,“A Single Samurai”,Steven Diamond,"The Baen Big Book of Monsters, Baen Books"
2015,Best Short Story,4,“Turncoat”,Steve Rzasa,"Riding the Red Horse, Castalia House"
2015,Best Short Story,5,“On A Spiritual Plain”,Lou Antonelli,"Sci Phi Journal #2, 11-2014"
2015,Best Short Story,6,“The Parliament of Beasts and Birds”,John C. Wright,"The Book of Feasts & Seasons, Castalia House"
2014,Best Novel,1,Ancillary Justice,Ann Leckie,Orbit US/Orbit UK
2014,Best Novel,2,Neptune’s Brood,Charles Stross,Ace / Orbit UK
2014,Best Novel,3,Parasite,Mira Grant,Orbit US/Orbit UK
2014,Best Novel,4,The Wheel of Time,Robert Jordan And Brandon Sanderson,Tor Books / Orbit UK
2014,Best Novel,5,Warbound,Larry Correia,Baen Books
2014,Best Novella,1,“Equoid”,Charles Stross,"Tor.com, 09-2013"
2014,Best Novella,2,Six-Gun Snow White,Catherynne M. Valente,Subterranean Press
2014,Best Novella,3,“Wakulla Springs”,Andy Duncan And Ellen Klages,"Tor.com, 10-2013"
2014,Best Novella,4,“The Chaplain’s Legacy”,Brad Torgersen,"Analog, Jul-Aug 2013"
2014,Best Novella,5,The Butcher of Khardov,Dan Wells,Privateer Press
2014,Best Novelette,1,“The Lady Astronaut of Mars”,Mary Robinette Kowal,"maryrobinettekowal.com/Tor.com, 09-2013"
2014,Best Novelette,2,“The Truth of Fact,Ted Chiang,"Subterranean, Fall 2013"
2014,Best Novelette,3,“The Waiting Stars”,Aliette De Bodard,"The Other Half of the Sky, Candlemark & Gleam"
2014,Best Novelette,4,“The Exchange Officers”,Brad Torgersen,"Analog, Jan-Feb 2013"
2014,Best Novelette,5,“Opera Vita Aeterna”,Vox Day,"The Last Witchking, Marcher Lord Hinterlands"
2014,Best Short Story,1,“The Water That Falls on You from Nowhere”,John Chu,"Tor.com, 02-2013"
2014,Best Short Story,2,“Selkie Stories Are for Losers”,Sofia Samatar,"Strange Horizons, Jan-2013"
2014,Best Short Story,3,“If You Were a Dinosaur,Rachel Swirsky,"Apex Magazine, Mar-2013"
2014,Best Short Story,4,“The Ink Readers of Doi Saket”,Thomas Olde Heuvelt,"Tor.com, 04-2013"
2013,Best Novel,1,Redshirts: A Novel with Three Codas,John Scalzi,Tor
2013,Best Novel,2,Captain Vorpatril’s Alliance,Lois Mcmaster Bujold,Baen
2013,Best Novel,3,2312,Kim Stanley Robinson,Orbit
2013,Best Novel,4,Throne of the Crescent Moon,Saladin Ahmed,DAW
2013,Best Novel,5,Blackout,Mira Grant,Orbit
2013,Best Novella,1,The Emperor’s Soul,Brandon Sanderson (Tachyon Publications) ,no publishing information available
2013,Best Novella,2,After the Fall,Nancy Kress,Tachyon Publications
2013,Best Novella,3,“The Stars Do Not Lie”,Jay Lake,"Asimov’s, Oct-Nov 2012"
2013,Best Novella,4,On a Red Station,Aliette De Bodard,Immersion Press
2013,Best Novella,5,San Diego 2014: The Last Stand of the California Browncoats,Mira Grant,Orbit
2013,Best Novelette,1,“The Girl-Thing Who Went Out for Sushi”,Pat Cadigan,"Edge of Infinity, Solaris"
2013,Best Novelette,2,“In Sea-Salt Tears”,Seanan Mcguire,Self-published
2013,Best Novelette,3,“Fade To White”,Catherynne M. Valente,"Clarkesworld, August 2012"
2013,Best Novelette,4,“Rat-Catcher”,Seanan Mcguire,"A Fantasy Medley 2, Subterranean"
2013,Best Novelette,5,“The Boy Who Cast No Shadow”,Thomas Olde Heuvelt,"Postscripts: Unfit For Eden, PS Publications"
2013,Best Short Story,1,“Mono no Aware”,Ken Liu,"The Future is Japanese, VIZ Media LLC"
2013,Best Short Story,2,“Immersion”,Aliette De Bodard,"Clarkesworld, June 2012"
2013,Best Short Story,3,“Mantis Wives”,Kij Johnson,"Clarkesworld, August 2012"
2012,Best Novel,1,Among Others,Jo Walton,Tor
2012,Best Novel,2,Embassytown,China Miéville,Macmillan / Del Rey
2012,Best Novel,3,Leviathan Wakes,James S. A. Corey,Orbit
2012,Best Novel,4,Deadline,Mira Grant,Orbit
2012,Best Novel,5,A Dance With Dragons,George R. R. Martin,Bantam Spectra
2012,Best Novella,1,“The Man Who Bridged the Mist”,Kij Johnson,Asimov’s
2012,Best Novella,2,“Kiss Me Twice”,Mary Robinette Kowal,Asimov’s
2012,Best Novella,3,Silently and Very Fast,Catherynne M. Valente,WSFA
2012,Best Novella,4,“The Man Who Ended History: A Documentary”,Ken Liu,Panverse 3
2012,Best Novella,5,Countdown,Mira Grant,Orbit
2012,Best Novella,6,“The Ice Owl”,Carolyn Ives Gilman,The Magazine of Fantasy & Science Fiction
2012,Best Novelette,1,“Six Months,Charlie Jane Anders,Tor.com
2012,Best Novelette,2,“Ray of Light”,Brad R. Torgersen,Analog
2012,Best Novelette,3,“The Copenhagen Interpretation”,Paul Cornell,Asimov’s
2012,Best Novelette,4,“What We Found”,Geoff Ryman,The Magazine of Fantasy and Science Fiction
2012,Best Novelette,5,“Fields of Gold”,Rachel Swirsky,Eclipse Four
2012,Best Short Story,1,“The Paper Menagerie”,Ken Liu,The Magazine of Fantasy and Science Fiction
2012,Best Short Story,2,“The Cartographer Wasps and the Anarchist Bees”,E. Lily Yu,Clarkesworld
2012,Best Short Story,3,“The Homecoming”,Mike Resnick,Asimov’s
2012,Best Short Story,4,“Movement”,Nancy Fulda,Asimov’s
2012,Best Short Story,5,“Shadow War of the Night Dragons: Book One: The Dead City: Prologue”,John Scalzi,Tor.com
2011,Best Novel,1,Blackout/All Clear,Connie Willis,Ballantine Spectra
2011,Best Novel,2,Feed,Mira Grant,Orbit
2011,Best Novel,3,Cryoburn,Lois Mcmaster Bujold,Baen
2011,Best Novel,4,The Hundred Thousand Kingdoms,N. K. Jemisin,Orbit
2011,Best Novel,5,The Dervish House,Ian Mcdonald,Gollancz; Pyr
2011,Best Novella,1,The Lifecycle of Software Objects,Ted Chiang,Subterranean
2011,Best Novella,2,“Troika”,Alastair Reynolds,"Godlike Machines, Science Fiction Book Club"
2011,Best Novella,3,“The Lady Who Plucked Red Flowers beneath the Queen’s Window”,Rachel Swirsky,"Subterranean Magazine, Summer 2010"
2011,Best Novella,4,“The Sultan of the Clouds”,Geoffrey A. Landis,"Asimov’s, September 2010"
2011,Best Novella,5,“The Maiden Flight of McCauley’s Bellerophon”,Elizabeth Hand,"Stories: All New Tales, William Morrow"
2011,Best Novelette,1,“The Emperor of Mars”,Allen M. Steele,"Asimov’s, June 2010"
2011,Best Novelette,2,“Eight Miles”,Sean Mcmullen,"Analog, September 2010"
2011,Best Novelette,3,“Plus or Minus”,James Patrick Kelly,"Asimov’s, December 2010"
2011,Best Novelette,4,“That Leviathan,Eric James Stone,"Analog, September 2010"
2011,Best Novelette,5,“The Jaguar House,Aliette De Bodard,"Asimov’s, July 2010"
2011,Best Short Story,1,“For Want of a Nail”,Mary Robinette Kowal,"Asimov’s, September 2010"
2011,Best Short Story,2,“Amaryllis”,Carrie Vaughn,"Lightspeed, June 2010"
2011,Best Short Story,3,“The Things”,Peter Watts,"Clarkesworld, January 2010"
2011,Best Short Story,4,“Ponies”,Kij Johnson,"Tor.com, November 17, 2010"
2010,Best Novel,1,The City & The City,China Miéville,Del Rey; Macmillan UK
2010,Best Novel,2,The Windup Girl,Paolo Bacigalupi,Night Shade
2010,Best Novel,3,Boneshaker,Cherie Priest,Tor
2010,Best Novel,4,Wake,Robert J. Sawyer,Ace; Penguin; Gollancz; Analog
2010,Best Novel,5,Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson,Tor
2010,Best Novel,6,Palimpsest,Catherynne M. Valente,Bantam Spectra
2010,Best Novella,1,“Palimpsest”,Charles Stross,Wireless; Ace; Orbit
2010,Best Novella,2,The God Engines,John Scalzi,Subterranean
2010,Best Novella,3,The Women of Nell Gwynne’s,Kage Baker,Subterranean
2010,Best Novella,4,“Act One”,Nancy Kress,Asimov’s 3/09
2010,Best Novella,5,“Vishnu at the Cat Circus”,Ian Mcdonald,Cyberabad Days; Pyr; Gollancz
2010,Best Novella,6,Shambling Towards Hiroshima,James Morrow,Tachyon
2010,Best Novelette,1,The Island”,Peter Watts,The New Space Opera 2; Eos
2010,Best Novelette,2,“Overtime”,Charles Stross,Tor.com 12/09
2010,Best Novelette,3,“Eros,Rachel Swirsky,Tor.com 3/09
2010,Best Novelette,4,“It Takes Two”,Nicola Griffith,Eclipse Three; Night Shade Books
2010,Best Novelette,5,“One of Our Bastards is Missing”,Paul Cornell,The Solaris Book of New Science Fiction: Volume Three; Solaris
2010,Best Novelette,6,“Sinner,Eugie Foster,Interzone 2/09
2010,Best Short Story,1,“Bridesicle”,Will Mcintosh,Asimov’s 1/09
2010,Best Short Story,2,“The Bride of Frankenstein”,Mike Resnick,Asimov’s 12/09
2010,Best Short Story,3,“Non-Zero Probabilities”,N. K. Jemisin,Clarkesworld 9/09
2010,Best Short Story,4,“Spar”,Kij Johnson,Clarkesworld 10/09
2010,Best Short Story,5,“The Moment”,Lawrence M. Schoen,Footprints; Hadley Rille Books
2009,Best Novel,1,The Graveyard Book,Neil Gaiman,HarperCollins; Bloomsbury UK
2009,Best Novel,2,Little Brother,Cory Doctorow,Tor Teen; HarperVoyager UK
2009,Best Novel,3,Anathem,Neal Stephenson,Morrow; Atlantic UK
2009,Best Novel,4,Saturn’s Children,Charles Stross,Ace; Orbit UK
2009,Best Novel,5,Zoe’s Tale,John Scalzi (Tor) ,no publishing information available
2009,Best Novella,1,“The Erdmann Nexus”,Nancy Kress,Asimov’s Oct/Nov 2008
2009,Best Novella,2,“Truth”,Robert Reed,Asimov’s Oct/Nov 2008
2009,Best Novella,3,“The Tear”,Ian Mcdonald,Galactic Empires
2009,Best Novella,4,“True Names”,Benjamin Rosenbaum & Cory Doctorow,Fast Forward 2
2009,Best Novella,5,“The Political Prisoner”,Charles Coleman Finlay,F&SF Aug 2008
2009,Best Novelette,1,“Shoggoths in Bloom”,Elizabeth Bear,Asimov’s Mar 2008
2009,Best Novelette,2,“Pride and Prometheus”,John Kessel,F&SF Jan 2008
2009,Best Novelette,3,“The Ray-Gun: A Love Story”,James Alan Gardner,Asimov’s Feb 2008
2009,Best Novelette,4,“The Gambler”,Paolo Bacigalupi,Fast Forward 2
2009,Best Novelette,5,“Alastair Baffle’s Emporium of Wonders”,Mike Resnick,Asimov’s Jan 2008
2009,Best Short Story,1,“Exhalation”,Ted Chiang,Eclipse Two
2009,Best Short Story,2,"“26 Monkeys, Also the Abyss”",Kij Johnson,Asimov’s Jul 2008
2009,Best Short Story,3,“From Babel’s Fall’n Glory We Fled”,Michael Swanwick (Asimov’S Feb 2008) ,no publishing information available
2009,Best Short Story,4,“Evil Robot Monkey”,Mary Robinette Kowal,"The Solaris Book of New Science Fiction, Volume Two"
2009,Best Short Story,5,“Article of Faith”,Mike Resnick,Baen’s Universe Oct 2008
2008,Best Novelette,1,“The Merchant and the Alchemist”s Gate”,Ted Chiang,F&SF Sept. 2007
2008,Best Novelette,2,“The Cambist and Lord Iron: a Fairytale of Economics”,Daniel Abraham,"Logorrhea, ed. John Klima, Bantam"
2008,Best Novelette,3,“Dark Integers”,Greg Egan,Asimov’s Oct./Nov. 2007
2008,Best Novelette,4,“Glory”,Greg Egan,"The New Space Opera, ed. Gardner Dozois and Jonathan Strahan, HarperCollins/Eos"
2008,Best Novelette,5,“Finisterra”,David Moles,F&SF Dec. 2007
2008,Best Short Story,1,“Tideline”,Elizabeth Bear,Asimov’s June 2007
2008,Best Short Story,2,“A Small Room in Koboldtown”,Michael Swanwick,"Asimov’s April/May 2007, The Dog Said Bow-Wow, Tachyon Publications"
2008,Best Short Story,3,“Last Contact”,Stephen Baxter,"The Solaris Book of New Science Fiction, ed. George Mann, Solaris Books"
2008,Best Short Story,4,“Who’s Afraid of Wolf 359?”,Ken Macleod,"The New Space Opera, ed. by Gardner Dozois, and Jonathan Strahan, HarperCollins/Eos"
2008,Best Short Story,5,“Distant Replay”,Mike Resnick,Asimov’s April/May 2007
2007,Best Novel,1,Rainbows End,Vernor Vinge,"Tor, 2006"
2007,Best Novel,2,Glasshouse,Charles Stross,"Ace, 2006"
2007,Best Novel,3,His Majesty’s Dragon,Naomi Novik,"Voyager, 2006; Del Rey, 2006"
2007,Best Novel,4,Eifelheim,Michael Flynn,"Tor, 2006"
2007,Best Novel,5,Blindsight,Peter Watts,"Tor, 2006"
2007,Best Novella,1,“A Billion Eves”,Robert Reed,Asimov’s Oct/Nov 2006
2007,Best Novella,2,“Lord Weary’s Empire”,Michael Swanwick,Asimov’s Dec 2006
2007,Best Novella,3,Julian: A Christmas Story,Robert Charles Wilson,"PS Publishing, 2006"
2007,Best Novella,4,“The Walls of the Universe”,Paul Melko,Asimov’s April/May 2006
2007,Best Novella,5,“Inclination”,William Shunn,Asimov’s April/May 2006
2007,Best Novelette,1,“The Djinn’s Wife”,Ian Mcdonald,Asimov’s July 2006
2007,Best Novelette,2,“Pol Pot’s Beautiful Daughter (Fantasy)”,Geoff Ryman,Fantasy & Science Fiction Oct 2006
2007,Best Novelette,3,"“Dawn, and Sunset, and the Colours of the Earth”",Michael F Flynn,Asimov’s Oct/Nov 2006
2007,Best Novelette,4,“All the Things You Are”,Mike Resnick,Jim Baen’s Universe Oct 2006
2007,Best Novelette,5,“Yellow Card Man”,Paolo Bacigalupi,Asimov’s Dec 2006
2007,Best Short Story,1,“Impossible Dreams”,Tim Pratt,Asimov’s July 2006
2007,Best Short Story,2,“How to Talk to Girls at Parties”,Neil Gaiman,"Fragile Things, William Morrow 2006"
2007,Best Short Story,3,“Eight Episodes”,Robert Reed,Asimov’s June 2006
2007,Best Short Story,4,“Kin”,Bruce Mcallister,Asimov’s Feb 2006
2007,Best Short Story,5,“The House Beyond Your Sky”,Benjamin Rosenbaum,Strange Horizons Sep 2006
2006,Best Novel,1,Spin,Robert Charles Wilson,"Tor, 2005"
2006,Best Novel,2,Learning the World,Ken Macleod,"Orbit, 2005; Tor, 2005"
2006,Best Novel,3,A Feast for Crows,George R. R. Martin,"Voyager, 2005; Bantam Spectra, 2005"
2006,Best Novel,4,Old Man’s War,John Scalzi,"Tor, 2005"
2006,Best Novel,5,Accelerando,Charles Stross,"Ace, 2005; Orbit, 2005"
2006,Best Novella,1,“Inside Job”,Connie Willis,Asimov’s Jan 2005
2006,Best Novella,2,“Burn”,James Patrick Kelly,"Tachyon, 2005"
2006,Best Novella,3,“Magic for Beginners”,Kelly Link,"Magic for Beginners, Small Beer Press, 2005; F&SF Sep 2005"
2006,Best Novella,4,“The Little Goddess”,Ian Mcdonald,Asimov’s Jun 2005
2006,Best Novella,5,“Identity Theft”,Robert J. Sawyer,"Down These Dark Spaceways, Sfbc, 2005"
2006,Best Novelette,1,“Two Hearts”,Peter S. Beagle,F&SF Oct/Nov 2005
2006,Best Novelette,2,“The Calorie Man”,Paolo Bacigalupi,F&SF Oct/Nov 2005
2006,Best Novelette,3,“TelePresence”,Michael A. Burstein,Analog Jul/Aug 2005
2006,Best Novelette,4,"“I, Robot”",Cory Doctorow,The Infinite Matrix 2005-02-15
2006,Best Novelette,5,“The King of Where-I-Go”,Howard Waldrop,"Sci Fiction, scifi.com 2005-12-07"
2006,Best Short Story,1,“Tk’tk’tk”,David D. Levine,Asimov’s Mar 2005
2006,Best Short Story,2,“Seventy-Five Years”,Michael A. Burstein,Analog Jan/Feb 2005
2006,Best Short Story,3,“The Clockwork Atom Bomb”,Dominic Green,Interzone May/Jun 2005
2006,Best Short Story,4,“Singing My Sister Down”,Margo Lanagan,"Black Juice, Allen & Unwin, 2005; Eos, 2005"
2006,Best Short Story,5,“Down Memory Lane”,Mike Resnick,Asimov’s Apr/May 2005
