year,award,outcome,title,author,published
2016,Best Novelette,2,Folding Beijing, Hao Jingfang ,Uncanny Jan/Feb 2015
2016,Best Novelette,3,And You Shall Know Her by the Trail of Dead, Brooke Bolander ,Lightspeed Feb 2015
2016,Best Novelette,4,Another Word for World, Ann Leckie ,Future Visions
2016,Best Novelette,5,The Heart's Filthy Lesson, Elizabeth Bear ,Old Venus
2016,Best Short Story,1,Cat Pictures Please, Naomi Kritzer ,Clarkesworld Jan 2015
2016,Best Short Story,2,The Dowager of Bees, China Miéville ,Three Moments of an Explosion
2016,Best Short Story,3,Hungry Daughters of Starving Mothers, Alyssa Wong ,Nightmare Oct 2015
2016,Best Short Story,4,Three Cups of Grief, By Starlight”,Clarkesworld Jan 2015
2016,Best Short Story,5,Madeleine, Amal El-Mohtar ,Lightspeed Jun 2015
2015,Best SF Novel,1,Ancillary Sword, Ann Leckie ,Orbit US; Orbit UK
2015,Best SF Novel,2,The Three-Body Problem, Cixin Liu ,Tor
2015,Best SF Novel,3,Annihilation/Authority/Acceptance, Jeff Vandermeer ,FSG Originals; Fourth Estate; HarperCollins Canada
2015,Best SF Novel,4,The Peripheral, William Gibson ,Putnam; Viking UK
2015,Best SF Novel,5,Lock In, John Scalzi ,Tor; Gollancz
2015,Best SF Novel,6,My Real Children, Jo Walton ,Tor; Corsair
2015,Best SF Novel,7,Lagoon, Nnedi Okorafor ,Hodder
2015,Best SF Novel,8,Cibola Burn, James S. A. Corey ,Orbit
2015,Best SF Novel,9,The Bone Clocks, David Mitchell ,Random House; Sceptre
2015,Best SF Novel,10,Afterparty, Daryl Gregory ,Tor; Titan
2015,Best SF Novel,11,The Causal Angel, Hannu Rajaniemi ,Tor; Gollancz
2015,Best SF Novel,12,Echopraxia, Peter Watts ,Tor
2015,Best SF Novel,13,War Dogs, Greg Bear ,Orbit; Gollancz
2015,Best SF Novel,14,Shipstar, Gregory Benford & Larry Niven ,Tor
2015,Best SF Novel,15,Work Done for Hire, Joe Haldeman ,Ace
2015,Best SF Novel,16,Ultima, Stephen Baxter ,Gollancz
2015,Best SF Novel,17,Dark Lightning, John Varley ,Ace
2015,Best SF Novel,18,Tigerman, Nick Harkaway ,Knopf
2015,Best SF Novel,19,The Memory of Sky, Robert Reed ,Prime
2015,Best SF Novel,20,Wolves, Simon Ings ,Gollancz
2015,Best SF Novel,21,Artemis Awakening, Jane Lindskold ,Tor
2015,Best SF Novel,22,The Book of Strange New Things, Michel Faber ,Hogarth; Canongate
2015,Best SF Novel,23,World of Trouble, Ben H. Winters ,Quirk
2015,Best SF Novel,24,Bête, Adam Roberts ,Gollancz
2015,Best SF Novel,25,The Blood of Angels, Johanna Sinisalo ,Peter Owen
2015,Best SF Novel,26,Europe in Autumn, Dave Hutchinson ,Solaris
2015,Best SF Novel,27,Station Eleven, Emily St. John Mandel ,Knopf
2015,Best SF Novel,28,All Those Vanished Engines, Paul Park ,Tor
2015,Best Fantasy Novel,1,The Goblin Emperor, Katherine Addison ,Tor
2015,Best Fantasy Novel,2,City of Stairs, Robert Jackson Bennett ,Broadway; Jo Fletcher
2015,Best Fantasy Novel,3,The Mirror Empire, Kameron Hurley ,Angry Robot
2015,Best Fantasy Novel,4,Steles of the Sky, Elizabeth Bear ,Tor
2015,Best Fantasy Novel,5,The Magician's Land, Lev Grossman ,Viking; Arrow 2015
2015,Best Fantasy Novel,6,Full Fathom Five, Max Gladstone ,Tor
2015,Best Fantasy Novel,7,The Girls at the Kingfisher Club, Genevieve Valentine ,Atria
2015,Best Fantasy Novel,8,Revival, Stephen King ,Scribner; Hodder & Stoughton
2015,Best Fantasy Novel,9,Beautiful Blood, Lucius Shepard ,Subterranean
2015,Best Fantasy Novel,10,California Bones, Greg Van Eekhout ,Tor
2015,Best Fantasy Novel,11,The Widow's House, Daniel Abraham ,Orbit
2015,Best Fantasy Novel,12,A Man Lies Dreaming, Lavie Tidhar ,Hodder & Stoughton
2015,Best Fantasy Novel,13,Hawk, Steven Brust ,Tor
2015,Best Fantasy Novel,14,The Dark Defiles, Richard K. Morgan ,Del Rey; Gollancz
2015,Best Fantasy Novel,15,Bathing the Lion, Jonathan Carroll ,St. Martin's
2015,Best Fantasy Novel,16,The Bees, Laline Paull ,Ecco
2015,Best Fantasy Novel,17,Heirs of Grace, Tim Pratt ,47North
2015,Best Fantasy Novel,18,The Winter Boy, Sally Wiener Grotta ,Pixel Hall
2015,Best Fantasy Novel,19,The Boy Who Drew Monsters, Keith Donohue ,Picador
2015,Best Fantasy Novel,20,Resurrections, Roz Kaveney ,Plus One
2015,Best Fantasy Novel,21,Words of Radiance, Brandon Sanderson ,Tor
2015,Best Novella,1,Yesterday's Kin, Nancy Kress ,Tachyon
2015,Best Novella,2,The Lightning Tree, Patrick Rothfuss ,Rogues
2015,Best Novella,3,We Are All Completely Fine, Daryl Gregory ,Tachyon
2015,Best Novella,4,The Regular, Ken Liu ,Upgraded
2015,Best Novella,5,The Man Who Sold the Moon, Cory Doctorow ,Hieroglyph
2015,Best Novella,6,The Mothers of Voorhisville, Mary Rickert ,Tor.com 30 Apr 2014
2015,Best Novella,7,Grand Jeté (The Great Leap), Rachel Swirsky ,Subterranean Sum 2014
2015,Best Novella,8,The Things We Do For Love, K. J. Parker ,Subterranean Sum 2014
2015,Best Novella,9,The Madonna and the Starship, James Morrow ,Tachyon
2015,Best Novella,10,Dream Houses, Genevieve Valentine ,WSFA/Wyrm
2015,Best Novella,11,The Adventure of the Ring of Stones, James P. Blaylock ,Subterranean
2015,Best Novella,12,Entanglement, Vandana Singh ,Hieroglyph
2015,Best Novella,13,Kur-A-Len, Lavie Tidhar ,Black Gods Kiss
2015,Best Novella,14,The Black Sun, Lewis Shiner ,Subterranean Sum 2014
2015,Best Novella,15,Where the Trains Turn, Pasi Ilmari Jääskeläinen ,Tor.com 19 Nov 2014
2015,Best Novella,16,The Slow Regard of Silent Things, Patrick Rothfuss ,DAW; Gollancz
2015,Best Novella,17,Children of the Fang, John Langan ,Lovecraft's Monsters
2015,Best Novelette,1,Tough Times All Over, Joe Abercrombie ,Rogues
2015,Best Novelette,2,The Jar of Water, Ursula K. Le Guin ,Tin House #62
2015,Best Novelette,3,The Hand is Quicker, Elizabeth Bear ,The Book of Silverberg
2015,Best Novelette,4,A Year and a Day in Old Theradane, Scott Lynch ,Rogues
2015,Best Novelette,5,Memorials, Aliette De Bodard ,Asimov's Jan 2014
2015,Best Novelette,6,The Devil in America, Kai Ashante Wilson ,Tor.com 2 Apr 2014
2015,Best Novelette,7,The Fifth Dragon, Ian Mcdonald ,Reach for Infinity
2015,Best Novelette,8,Ten Rules for Being an Intergalactic Smuggler (the Successful Kind), Holly Black ,Monstrous Affections
2015,Best Novelette,9,Wine, Yoon Ha Lee ,Clarkesworld Jan 2014
2015,Best Novelette,10,A Guide to the Fruits of Hawai'i, Alaya Dawn Johnson ,F&SF; Jul/Aug 2014
2015,Best Novelette,11,The New Boyfriend, Kelly Link ,Monstrous Affections
2015,Best Novelette,12,The Colonel, Peter Watts ,Tor.com 29 Jul 2014
2015,Best Novelette,13,A Better Way to Die, Paul Cornell ,Rogues
2015,Best Novelette,14,Tawny Petticoats, Michael Swanwick ,Rogues
2015,Best Novelette,15,The Cryptic Age, Robert Reed ,Asimov's Dec 2014
2015,Best Novelette,16,The Insects of Love, Genevieve Valentine ,Tor.com 28 May 2014
2015,Best Novelette,17,I Can See Right Through You, Kelly Link ,McSweeney's #48
2015,Best Novelette,18,A Short History of the Twentieth Century, Or,Tor.com 20 Jul 2014
2015,Best Novelette,19,Interstate Love Song (Murder Ballad No. 8), Caitlín R. Kiernan ,Sirenia Digest
2015,Best Novelette,20,The Magician and Laplace's Demon, Tom Crosshill ,Clarkesworld Dec 2014
2015,Best Novelette,21,Collateral, Peter Watts ,Upgraded
2015,Best Novelette,22,Of Finest Scarlet Was Her Gown, Michael Swanwick ,Asimov's Apr/May 2014
2015,Best Novelette,23,The Last Log of the Lachrimosa, Alastair Reynolds ,Subterranean Spr 2014
2015,Best Novelette,24,A Hotel in Antarctica, Geoffrey A. Landis ,Hieroglyph
2015,Best Novelette,25,The Litany of Earth, Ruthanna Emrys ,Tor.com 14 May 2014
2015,Best Novelette,26,The Cats of River Street (1925), Caitlín R. Kiernan ,Sirenia Digest
2015,Best Novelette,27,Among the Thorns, Veronica Schanoes ,Tor.com 7 May 2014
2015,Best Novelette,28,Heaven Thunders the Truth, K. J. Parker ,Beneath Ceaseless Skies 2 Oct 2014
2015,Best Novelette,29,The Jetsam of Disremembered Mechanics, Caitlín R. Kiernan ,The Book of Silverberg
2015,Best Novelette,30,The End of the End of Everything, Dale Bailey ,Tor.com 23 Apr 2014
2015,Best Novelette,31,Seventh Sight, Greg Egan ,Upgraded
2015,Best Novelette,32,Home is the Hunter, Garth Nix ,Fearsome Magics
2015,Best Novelette,33,Kheldyu, Karl Schroeder ,Reach for Infinity
2015,Best Novelette,34,Shadow Flock, Greg Egan ,Coming Soon Enough
2015,Best Novelette,35,A Wish from a Bone, Gemma Files ,Fearful Symmetries
2015,Best Novelette,36,I'll Follow the Sun, Paul Di Filippo ,F&SF; Nov/Dec 2014
2015,Best Short Story,1,The Truth About Owls, Amal El-Mohtar ,Kaleidoscope
2015,Best Short Story,2,Covenant, Elizabeth Bear ,Hieroglyph
2015,Best Short Story,3,Ogres of East Africa, Sofia Samatar ,Long Hidden
2015,Best Short Story,4,The Dust Queen, Aliette De Bodard ,Reach for Infinity
2015,Best Short Story,5,In Babelsberg, Alastair Reynolds ,Reach for Infinity
2015,Best Short Story,6,This Chance Planet, Elizabeth Bear ,Tor.com 22 Oct 2014
2015,Best Short Story,7,West to East, Jay Lake ,Subterranean Sum 2014
